new entry "Target_Momentary_Stasis"
type "SpellData"
data "SpellType" "Target"
data "TargetRadius" "12"
data "SpellRoll" "not SavingThrow(Ability.Constitution, SourceSpellDC())"
data "SpellSuccess" "ApplyStatus(MOMENTARY_STASIS,100,1)"
data "SpellFail" "ApplyStatus(SAVED_AGAINST_MOMENTARY_STASIS, 100, 0)"
data "TargetConditions" "TargetSizeEqualOrSmaller(Size.Large) and not Self() and not Dead() and not (not Player(context.Source) and IsCrowdControlled(context.Target)) and Character()"
data "Icon" "PassiveFeature_Portent"
data "DisplayName" "h068d74beg8edcg45f5gbe46g1d180030769e;1"
data "Description" "h2cf34178g2618g4243g9256geaee975558da;1"
data "TooltipAttackSave" "Constitution"
data "TooltipStatusApply" "ApplyStatus(MOMENTARY_STASIS,100,1)"
data "PrepareSound" "Spell_Prepare_Control_HoldMonster_L4to5"
data "PrepareLoopSound" "Spell_Loop_Control_HoldMonster_L4to5"
data "CastSound" "Spell_Cast_Control_HoldMonster_L4to5"
data "TargetSound" "Spell_Impact_Control_HoldMonster_L4to5"
data "CastTextEvent" "Cast"
data "CycleConditions" "Enemy() and not Dead()"
data "UseCosts" "ActionPoint:1;MomentaryStasisPoint:1"
data "SpellAnimation" "554a18f7-952e-494a-b301-7702a85d4bc9,,;,,;ab7b6aac-b3c9-4918-8f17-f777a94dcb5e,,;57211a11-ed0b-46d7-9369-81df25a85df6,,;22dfbbf4-f417-4c84-b39e-2039315961e6,,;,,;5bfbe9f9-4fc3-4f26-b112-43d404db6a89,,;,,;,,"
data "VerbalIntent" "Control"
data "SpellFlags" "IsHarmful"
data "HitAnimationType" "None"
data "PrepareEffect" "bcdca947-b1ba-475f-8e3b-9ac850da90fa"
data "CastEffect" "d2ef6b50-243f-478d-85c6-892086a1477e"
data "TargetEffect" "e1b340b6-78a9-413a-bb7e-8299848238ae"
