new entry "MOMENTARY_STASIS"
type "StatusData"
data "StatusType" "INCAPACITATED"
data "DisplayName" "h068d74beg8edcg45f5gbe46g1d180030769e;1"
data "Description" "h216d20b7g80c3g4308gb538g381d04a11c33;1"
data "Icon" "PassiveFeature_Portent"
data "AnimationLoop" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "AnimationEnd" "5f127742-79d4-4590-839f-6eb5ae45930d(REAC_Magic_External_Combat_01)"
data "StillAnimationPriority" "Snared"
data "SoundVocalStart" "WEAK"
data "SoundLoop" "Spell_Status_HoldPerson"
data "SoundStop" "Spell_Status_HoldPerson_Stop"
data "FreezeTime" "500"
data "TickType" "EndTurn"
data "Boosts" "AbilityFailedSavingThrow(Strength);AbilityFailedSavingThrow(Dexterity);CriticalHit(AttackTarget,Success,Always,3);CriticalHit(AttackTarget,Failure,Never,3);Advantage(AttackTarget);ActionResourceBlock(Movement);DetectDisturbancesBlock(true);"
data "TooltipSave" "Constitution"
data "StatusPropertyFlags" "OverheadOnTurn"
data "RemoveEvents" "OnTurn;OnDamage"
data "StatusGroups" "SG_Incapacitated;SG_Condition;SG_Paralyzed"
data "OnApplyFunctors" "BreakConcentration()"
data "StatusEffect" "16afeddb-6a1e-4ad1-a0e1-3a467a5ad2ad"
